STOK KODU;BUFFER;DEPO;PASİF
37162-100;Kalacak;;
37163-100;Kalacak;;
37164-100;;2;
37165-100;;2;
37166-100;;2;
37167-100;;2;
01074-100;Kalacak;;
01010-100;;;5
01011-200;Kalacak;;
01012-200;Kalacak;;
01013-100;Kalacak;;
01015-100;;2;
01016-100;Kalacak;;
01017-100;Kalacak;;
01217-100;;;5
01019-100;Kalacak;;
01023-200;Kalacak;;
01024-200;Kalacak;;
01025-200;Kalacak;;
01026-100;Kalacak;;
01026-200;;2;
20272-200;;;5
01030-100;Kalacak;;
01032-200;;2;
01033-200;Kalacak;;
01036-200;;;5
01037-200;Kalacak;;
01039-200;;2;
01040-100;;;
20300-200;;;5
20302-200;;;5
01044-100;Kalacak;;
01045-100;Kalacak;;
01046-100;Kalacak;;
01047-100;Kalacak;;
01049-100;Kalacak;;
01049-200;;2;
01052-200;Kalacak;;
01053-200;Kalacak;;
01057-100;Kalacak;;
01066-100;;2;
01067-100;Kalacak;;
01067-200;;2;
01068-100;Kalacak;;
01068-200;;2;
01078-200;Kalacak;;
01079-200;;2;
01083-200;Kalacak;;
01086-100;;2;
01087-100;;2;
01090-100;Kalacak;;
01091-100;Kalacak;;
01092-100;Kalacak;;
01097-100;Kalacak;;
01098-100;;2;
01099-200;Kalacak;;
01101-100;;2;
01103-100;Kalacak;;
01104-100;Kalacak;;
01106-100;Kalacak;;
01107-100;Kalacak;;
01108-200;Kalacak;;
01109-200;Kalacak;;
01110-100;;2;
01115-100;Kalacak;;
01119-100;Kalacak;;
01119-200;;2;
01125-100;Kalacak;;
01126-100;Kalacak;;
01127-100;Kalacak;;
01131-100;Kalacak;;
01132-100;Kalacak;;
01133-100;Kalacak;;
01142-200;Kalacak;;
01143-200;;2;
01144-200;Kalacak;;
01150-200;Kalacak;;
01167-100;Kalacak;;
01168-100;Kalacak;;
01169-100;Kalacak;;
01171-100;Kalacak;;
01172-100;Kalacak;;
01173-100;;;
01174-100;Kalacak;;
90000-100;;;
01147-100;Kalacak;;
01054-100;Kalacak;;
01058-100;Kalacak;;
01064-100;Kalacak;;
01069-200;Kalacak;;
01070-100;Kalacak;;
01071-100;Kalacak;;
01072-100;Kalacak;;
01073-100;Kalacak;;
01081-100;Kalacak;;
01082-100;Kalacak;;
01084-100;Kalacak;;
01102-100;;2;
01105-100;Kalacak;;
01111-100;;2;
01112-100;;2;
01113-200;;2;
01114-200;Kalacak;;
01116-100;Kalacak;;
01117-100;Kalacak;;
01118-100;Kalacak;;
01120-100;;2;
01121-200;Kalacak;;
01122-100;Kalacak;;
01123-100;Kalacak;;
01124-100;Kalacak;;
01130-100;Kalacak;;
01134-200;;;
01136-200;;;
01138-100;Kalacak;;
01139-100;Kalacak;;
01140-100;Kalacak;;
01141-200;Kalacak;;
01145-100;Kalacak;;
01146-200;;;
01155-100;Kalacak;;
01156-100;Kalacak;;
01159-100;Kalacak;;
01161-100;Kalacak;;
01162-100;Kalacak;;
01164-200;;;
01165-100;Kalacak;;
01166-100;Kalacak;;
01170-100;Kalacak;;
01001-100;;2;
01006-100;Kalacak;;
01009-100;Kalacak;;
01020-100;Kalacak;;
20312-200;;;5
01022-100;;2;
01028-100;Kalacak;;
01061-200;Kalacak;;
01063-200;;2;
01065-100;;2;
01080-200;;2;
01128-200;Kalacak;;
01129-100;Kalacak;;
01137-100;Kalacak;;
01154-200;Kalacak;;
01163-200;Kalacak;;
01000-100;Kalacak;;
01002-100;Kalacak;;
01007-100;Kalacak;;
01008-100;Kalacak;;
01034-100;;;
01055-200;Kalacak;;
01056-200;Kalacak;;
01059-200;Kalacak;;
01060-200;Kalacak;;
01062-200;Kalacak;;
01075-200;;2;
01076-200;;2;
01077-200;;2;
01085-100;Kalacak;;
01093-100;Kalacak;;
01094-100;Kalacak;;
01095-100;Kalacak;;
01096-100;Kalacak;;
01151-100;Kalacak;;
01152-200;Kalacak;;
01153-100;Kalacak;;
01157-100;Kalacak;;
01158-100;Kalacak;;
00415-200;Kalacak;;
00512-200;;;5
00515-200;;;
00516-200;;;
00520-100;Kalacak;;
00521-100;Kalacak;;
00542-200;Kalacak;;
00543-200;Kalacak;;
00544-100;Kalacak;;
00546-200;;2;
00547-200;;;5
00624-200;Kalacak;;
00625-200;Kalacak;;
00626-200;Kalacak;;
00628-200;;;5
00631-200;;2;
00633-100;Kalacak;;
00634-200;;;5
00636-200;Kalacak;;
00637-200;Kalacak;;
00638-200;Kalacak;;
34188-100;;;5
00640-200;;2;
00641-200;Kalacak;;
00643-200;;;
00761-200;Kalacak;;
00762-100;Kalacak;;
00766-200;Kalacak;;
00500-200;;;5
00513-200;;;5
00517-200;;2;
00518-200;Kalacak;;
00519-200;;;5
00400-200;;;
00402-100;;;
00404-100;;2;
00406-200;Kalacak;;
00407-200;;;
00408-200;;;
00409-200;Kalacak;;
00728-100;Kalacak;;
00417-100;Kalacak;;
